Entity,Year,Land_Use_Temp,Fossil_Fuel_Temp,Nitrous_Oxide_Temp,Methane_Temp,CO2_Temp,Global_Temp_Anomaly,Temp_Anomaly_Upper_CI,Temp_Anomaly_Lower_CI,Annual_GHG_Emissions_CO2_Eq,Total_GHG_Temp_Contribution
World,1851,0.0014449474,0.0002900023,6.7629015e-05,0.00044850307,0.0012188175,-0.2333498,-0.054831687,-0.41186792,4100721200.0,0.0017349496
World,1852,0.0029069197,0.0005840909,0.00013642729,0.0008958221,0.0024587612,-0.22939907,-0.04941572,-0.40938243,4156867000.0,0.0034910105
World,1853,0.004394508,0.0008842343,0.00020635224,0.0013435187,0.0037288712,-0.27035445,-0.110699534,-0.43000934,4233854500.0,0.0052787424
World,1854,0.0058918847,0.0012129006,0.000277345,0.0018013353,0.0050261053,-0.29163003,-0.15043613,-0.43282393,4308952000.0,0.007104785
World,1855,0.007394986,0.0015435872,0.00034933048,0.002257593,0.00633165,-0.2969512,-0.15454465,-0.43935776,4336072700.0,0.008938573
World,1856,0.008912071,0.0018813759,0.00042221724,0.0027119347,0.007659295,-0.32035372,-0.1726142,-0.46809322,4395791400.0,0.010793447
World,1857,0.010439375,0.0022196567,0.0004958976,0.003164302,0.008998832,-0.46723005,-0.31813794,-0.61632216,4429868500.0,0.012659032
World,1858,0.011980079,0.0025574127,0.00057024765,0.0036129323,0.010354311,-0.3887657,-0.24064532,-0.53688604,4472476700.0,0.014537492
World,1859,0.01353351,0.002907734,0.00064512715,0.0040651374,0.011730979,-0.28119546,-0.13854107,-0.42384982,4529827300.0,0.016441245
World,1860,0.015035966,0.0032785481,0.0007203795,0.0045233713,0.013070764,-0.39016518,-0.24135375,-0.5389766,4459609000.0,0.018314514
World,1861,0.016484046,0.0036590705,0.00079590647,0.004985043,0.014362168,-0.42927712,-0.26132414,-0.5972301,4361128400.0,0.020143118
World,1862,0.017924692,0.004040243,0.00087168295,0.005445947,0.015647305,-0.53639776,-0.36908585,-0.7037096,4354249000.0,0.021964936
World,1863,0.019367043,0.0044403747,0.0009476902,0.005916522,0.016943205,-0.3443432,-0.1545219,-0.5341645,4389887000.0,0.023807418
World,1864,0.0207963,0.004859459,0.0010239162,0.006394318,0.018237526,-0.4654367,-0.282776,-0.6480974,4397455000.0,0.025655761
World,1865,0.022214372,0.005292,0.0011003551,0.006875647,0.019530369,-0.33258784,-0.14052312,-0.5246526,4404490000.0,0.027506372
World,1866,0.02362935,0.005738997,0.0011770076,0.007366713,0.020824626,-0.34126064,-0.16068307,-0.52183825,4418398700.0,0.029368347
World,1867,0.025046363,0.006198514,0.001253881,0.00785739,0.022133607,-0.35696334,-0.16086453,-0.55306214,4459602000.0,0.031244878
World,1868,0.026457986,0.0066651907,0.0013309888,0.0083508305,0.023441356,-0.35196072,-0.17426313,-0.52965826,4464261600.0,0.033123177
World,1869,0.027860459,0.007149857,0.0014083514,0.00885001,0.024751954,-0.31657043,-0.15671812,-0.47642276,4481321500.0,0.035010315
World,1870,0.029344795,0.0076363995,0.0014859948,0.009347355,0.026147846,-0.32789087,-0.18710826,-0.46867347,4678403000.0,0.036981195
World,1871,0.030888623,0.0081489105,0.0015647615,0.0098633785,0.027609393,-0.3685807,-0.22301209,-0.5141493,4840225000.0,0.039037533
World,1872,0.03246778,0.008706143,0.0016460835,0.01040471,0.029123127,-0.32804197,-0.19300064,-0.4630833,4980439600.0,0.04117392
World,1873,0.034090113,0.00929004,0.0017310617,0.010962725,0.030686365,-0.34133235,-0.21012507,-0.4725396,5113710600.0,0.043380152
World,1874,0.03574737,0.009833064,0.0018204645,0.011506503,0.032253467,-0.3732512,-0.2393598,-0.5071426,5136837600.0,0.045580436
World,1875,0.037429545,0.010412885,0.0019147291,0.012070788,0.033856913,-0.37562594,-0.23721085,-0.514041,5244468000.0,0.047842428
World,1876,0.039141893,0.010995009,0.0020139609,0.012640465,0.035482477,-0.42410994,-0.28534868,-0.56287116,5315372000.0,0.050136905
World,1877,0.040887304,0.01158788,0.002117933,0.013222288,0.03713496,-0.101108834,0.027602348,-0.22982001,5397178000.0,0.052475184
World,1878,0.042666882,0.012185348,0.0022260877,0.013813887,0.038812254,-0.011315193,0.10858219,-0.13121258,5471722500.0,0.05485223
World,1879,0.044475082,0.012812095,0.002337535,0.014419665,0.040529978,-0.30363432,-0.1732043,-0.43406433,5584326000.0,0.057287175
World,1880,0.04630908,0.013498972,0.002451053,0.01504882,0.04230818,-0.31583208,-0.19151321,-0.44015095,5744898600.0,0.059808053
World,1881,0.04815461,0.014206852,0.0025658212,0.015697883,0.044097763,-0.23224552,-0.10655605,-0.35793498,5790540000.0,0.062361464
World,1882,0.05004103,0.014949388,0.002681665,0.016371151,0.0459376,-0.29553008,-0.17091006,-0.4201501,5922506000.0,0.064990416
World,1883,0.05196767,0.015725236,0.0027984448,0.017062973,0.04783149,-0.3464744,-0.23213111,-0.4608177,6064236000.0,0.067692906
World,1884,0.053915918,0.016498398,0.0029160564,0.017758964,0.049739297,-0.49232006,-0.38197154,-0.6026686,6108973000.0,0.07041432
World,1885,0.055878602,0.017268384,0.0030344303,0.01846028,0.05165228,-0.47112358,-0.35917896,-0.5830682,6133997600.0,0.073146984
World,1886,0.057866577,0.018040603,0.0031535323,0.019168591,0.053585056,-0.42090362,-0.31926903,-0.5225382,6192668700.0,0.07590718
World,1887,0.059891135,0.01884641,0.0032733632,0.019899275,0.055564903,-0.49878576,-0.3810117,-0.61655986,6317310500.0,0.07873754
World,1888,0.061927687,0.01973044,0.0033939593,0.020668045,0.05759612,-0.37937889,-0.265434,-0.49332377,6458240500.0,0.081658125
World,1889,0.06398652,0.020607995,0.0035153916,0.02144242,0.059636697,-0.24989556,-0.12757017,-0.37222093,6493166600.0,0.08459451
World,1890,0.06611588,0.021562438,0.0036417518,0.02225662,0.061779946,-0.50685817,-0.3813068,-0.6324095,6758279000.0,0.08767832
World,1891,0.06829515,0.022551715,0.003769473,0.023083737,0.06399366,-0.40131494,-0.26525995,-0.5373699,6936811000.0,0.090846874
World,1892,0.07049729,0.023531416,0.0038986302,0.023901492,0.06622858,-0.5075585,-0.3707885,-0.64432853,6999981600.0,0.094028704
World,1893,0.07273678,0.024484511,0.0040292796,0.024705278,0.06848673,-0.49461925,-0.35770702,-0.6315314,7062284300.0,0.097221285
World,1894,0.07499889,0.025484607,0.0041614575,0.025540035,0.070782006,-0.48376393,-0.34195974,-0.6255681,7167767000.0,0.1004835
World,1895,0.07728598,0.026533669,0.00429518,0.026390946,0.07313353,-0.4487516,-0.3154826,-0.58202064,7319153700.0,0.10381965
World,1896,0.079594806,0.027612941,0.0044304454,0.02725544,0.075521864,-0.28400728,-0.15061308,-0.4174015,7421089000.0,0.10720775
World,1897,0.08192737,0.028741496,0.0045672297,0.028141687,0.07795995,-0.25980017,-0.12107607,-0.39852425,7556390400.0,0.11066886
World,1898,0.084280714,0.029931277,0.0047054915,0.02905469,0.08045181,-0.48579213,-0.35393503,-0.6176492,7701779000.0,0.11421199
World,1899,0.086659476,0.031221032,0.0048451694,0.030002307,0.08303303,-0.35543364,-0.22447036,-0.48639694,7934907400.0,0.11788051
World,1900,0.08909618,0.03256403,0.004986181,0.030962609,0.08571142,-0.23447904,-0.10199049,-0.3669676,8180183000.0,0.12166021
World,1901,0.09155938,0.033942234,0.0051286146,0.03193171,0.08844129,-0.29342857,-0.15718324,-0.42967388,8318475300.0,0.12550162
World,1902,0.09405629,0.035342593,0.0052727046,0.032902595,0.09122358,-0.43898427,-0.30254042,-0.5754281,8456297000.0,0.12939888
World,1903,0.09656331,0.03685828,0.0054186354,0.033907384,0.09409557,-0.5333264,-0.40583345,-0.66081935,8694631000.0,0.1334216
World,1904,0.09910297,0.038392127,0.005566538,0.034921262,0.09700729,-0.5975614,-0.46629035,-0.7288325,8802919000.0,0.13749509
World,1905,0.10166318,0.0400202,0.005716494,0.03596538,0.10000151,-0.40775132,-0.28047356,-0.5350291,9016644000.0,0.14168338
World,1906,0.104234844,0.041735772,0.005868532,0.03705109,0.10305099,-0.3191393,-0.18775477,-0.45052385,9176698000.0,0.14597061
World,1907,0.10682804,0.043677162,0.006022631,0.038205888,0.10627668,-0.5041577,-0.38203365,-0.6262818,9623841000.0,0.1505052
World,1908,0.10944009,0.04551813,0.0061787176,0.03931319,0.10946631,-0.5138707,-0.3902612,-0.63748026,9548418000.0,0.15495822
World,1909,0.112068124,0.04744456,0.006336666,0.04045719,0.11271883,-0.5357649,-0.41890016,-0.6526296,9721779000.0,0.15951268
World,1910,0.11469159,0.049440373,0.0064963014,0.041608687,0.116026975,-0.5310242,-0.40636164,-0.6556868,9877268000.0,0.16413197
World,1911,0.11731412,0.051465392,0.0066578435,0.042770036,0.11935163,-0.5392051,-0.4161705,-0.66223973,9940845000.0,0.1687795
World,1912,0.119912,0.053586222,0.006821863,0.043957885,0.122718476,-0.47567302,-0.36201498,-0.5893311,10065119000.0,0.17349821
World,1913,0.122507155,0.05590098,0.0069888067,0.04521904,0.12620029,-0.46715254,-0.34492958,-0.5893755,10369888000.0,0.17840813
World,1914,0.12510452,0.057978712,0.007158998,0.04639109,0.12953314,-0.2625924,-0.1424214,-0.38276345,10020949000.0,0.18308322
World,1915,0.12768641,0.060012184,0.007332637,0.047540534,0.13282542,-0.19184391,-0.06172589,-0.32196194,9949031000.0,0.18769859
World,1916,0.1302487,0.062213484,0.0075098006,0.048745986,0.1362064,-0.42020997,-0.28152588,-0.5588941,10197043000.0,0.19246219
World,1917,0.13281558,0.06450821,0.007690443,0.049976435,0.13965692,-0.54301953,-0.3939199,-0.6921192,10391591000.0,0.1973238
World,1918,0.13539575,0.066721864,0.007874394,0.05114819,0.14309503,-0.42458433,-0.26718682,-0.58198184,10363822000.0,0.20211762
World,1919,0.13796812,0.06860227,0.0080613615,0.052197,0.14631204,-0.32551822,-0.1695783,-0.48145813,9848702000.0,0.2065704
World,1920,0.14060494,0.07078711,0.0082509285,0.053329673,0.14981145,-0.2985808,-0.14856121,-0.44860035,10547680000.0,0.21139206
World,1921,0.14330252,0.0726407,0.0084429635,0.054334667,0.1531656,-0.24067703,-0.09960067,-0.38175339,10187355000.0,0.21594322
World,1922,0.1460371,0.07462105,0.008637651,0.055407904,0.15661259,-0.33922812,-0.21235302,-0.46610323,10449588000.0,0.22065814
World,1923,0.14878897,0.07688454,0.008835099,0.05657724,0.16026118,-0.31793055,-0.1916881,-0.444173,10983467000.0,0.22567351
World,1924,0.15156604,0.07917166,0.00903534,0.057774514,0.16392785,-0.3120622,-0.18529275,-0.4388317,11058261000.0,0.2307377
World,1925,0.15438019,0.08146573,0.009238332,0.058970068,0.16763751,-0.28242525,-0.15007503,-0.4147755,11183324000.0,0.23584591
World,1926,0.1572005,0.08367502,0.009443954,0.06011985,0.17131172,-0.12283547,0.006976739,-0.25264767,11118605000.0,0.24087553
World,1927,0.16003795,0.08607806,0.009652013,0.061321903,0.1751421,-0.22940508,-0.10745319,-0.35135695,11544581000.0,0.24611601
World,1928,0.16289465,0.088497795,0.009862238,0.06255779,0.17897242,-0.20676155,-0.074705064,-0.33881804,11566127000.0,0.25139245
World,1929,0.16576454,0.09110311,0.010074282,0.06385714,0.18293624,-0.39275664,-0.25894582,-0.52656746,11925449000.0,0.25686765
World,1930,0.16865566,0.09350059,0.0102877235,0.065107815,0.18676072,-0.1768054,-0.06319936,-0.29041144,11621743000.0,0.26215625
World,1931,0.17159091,0.09562298,0.010502299,0.06628649,0.1904251,-0.10339768,0.0058962475,-0.2126916,11254602000.0,0.26721388
World,1932,0.17456588,0.09751931,0.010717984,0.067409605,0.1939576,-0.14546166,-0.0389682,-0.25195515,10960445000.0,0.2720852
World,1933,0.17756799,0.099484846,0.010934794,0.068540804,0.19757724,-0.32234442,-0.21758842,-0.4271004,11200728000.0,0.27705285
World,1934,0.18060091,0.10175166,0.01115279,0.06985569,0.20134409,-0.17433685,-0.07466974,-0.27400395,11596695000.0,0.28235257
World,1935,0.18365024,0.104168735,0.011372072,0.07125452,0.20519239,-0.20605922,-0.10862111,-0.30349734,11831508000.0,0.28781897
World,1936,0.18674421,0.1068028,0.011592785,0.07273291,0.20922132,-0.16952093,-0.07552261,-0.26351926,12315408000.0,0.293547
World,1937,0.18987109,0.10960453,0.011815116,0.074278615,0.21338189,-0.01919893,0.08136089,-0.11975875,12674802000.0,0.29947564
World,1938,0.19304208,0.112285934,0.012039293,0.07585457,0.21743415,-0.012200732,0.08590227,-0.11030374,12446122000.0,0.305328
World,1939,0.1962486,0.115223855,0.012265588,0.077607356,0.22159952,-0.040797167,0.065110326,-0.14670466,12759981000.0,0.31147248
World,1940,0.19958112,0.11832473,0.012494315,0.07936955,0.22604197,0.07593584,0.19382134,-0.04194966,13447261000.0,0.31790584
World,1941,0.20301344,0.12164187,0.012731308,0.08132141,0.23060258,0.038129337,0.23851255,-0.16225387,13780645000.0,0.3246553
World,1942,0.20650122,0.12490913,0.012986341,0.08325223,0.23517178,0.0014060909,0.19802457,-0.1952124,13876464000.0,0.33141035
World,1943,0.21004486,0.12816703,0.013266863,0.08516054,0.2397845,0.0064140745,0.21241911,-0.19959097,14093721000.0,0.3382119
World,1944,0.21364193,0.13147946,0.013578002,0.08711301,0.24443038,0.14410514,0.3427051,-0.054494828,14283704000.0,0.34512138
World,1945,0.21728228,0.13427413,0.013922555,0.08895909,0.24867477,0.043088365,0.24345961,-0.15728289,13436114000.0,0.3515564
World,1946,0.22097355,0.13740954,0.014301,0.090995274,0.2530868,-0.1188128,0.028331792,-0.2659574,13984759000.0,0.3583831
World,1947,0.22469766,0.14084302,0.014711484,0.09312876,0.25770044,-0.091205545,0.04937931,-0.23179041,14620470000.0,0.36554068
World,1948,0.22845066,0.14446095,0.015149835,0.09534665,0.2624151,-0.12466127,0.009810844,-0.25913337,14964012000.0,0.3729116
World,1949,0.23222277,0.14796503,0.01560955,0.097552404,0.26702583,-0.14380224,-0.033526987,-0.2540775,14829824000.0,0.38018778
World,1950,0.23622406,0.15197246,0.016081806,0.09994614,0.27216855,-0.22662179,-0.12058662,-0.33265698,16133820000.0,0.3881965
World,1951,0.24036808,0.15637478,0.016561572,0.10262226,0.27755904,-0.06115397,0.028042298,-0.15035024,16826135000.0,0.39674288
World,1952,0.2446339,0.16094445,0.017049216,0.10548498,0.28304416,0.015354565,0.11364509,-0.08293597,17141976000.0,0.40557835
World,1953,0.24901582,0.16565694,0.01754518,0.10846789,0.2886597,0.07763074,0.1757911,-0.020529618,17550529000.0,0.41467276
World,1954,0.25354525,0.17047149,0.018049989,0.11155009,0.29441667,-0.11675021,-0.024997713,-0.20850271,17995368000.0,0.42401674
World,1955,0.2582284,0.17583515,0.01856424,0.11494982,0.30054948,-0.19730993,-0.1101899,-0.28442997,19054870000.0,0.43406355
World,1956,0.26306573,0.18150362,0.01908861,0.11848952,0.30699122,-0.2631656,-0.18720557,-0.33912563,19906697000.0,0.44456935
World,1957,0.2680547,0.18740168,0.01962385,0.12219556,0.31363696,-0.035334926,0.029898768,-0.10056862,20525062000.0,0.45545638
World,1958,0.27319926,0.19354925,0.020170793,0.12610388,0.32047385,-0.017632553,0.04780945,-0.083074555,21082114000.0,0.4667485
World,1959,0.2785747,0.20016536,0.020730345,0.1303437,0.32766598,-0.048004825,0.0143540995,-0.11036375,22116274000.0,0.47874004
World,1960,0.28376767,0.20713401,0.021307025,0.13474387,0.3348508,-0.115487024,-0.056808177,-0.17416587,22279125000.0,0.49090168
World,1961,0.28877458,0.21414183,0.021914413,0.13916107,0.34184095,-0.019997388,0.030785747,-0.07078052,21972924000.0,0.5029164
World,1962,0.2937406,0.22137496,0.022542104,0.14368986,0.3488836,-0.06405444,-0.010794453,-0.11731443,22223774000.0,0.51511556
World,1963,0.29859963,0.22902136,0.023189863,0.14837842,0.3560527,-0.03680589,0.016958294,-0.09057008,22687578000.0,0.527621
World,1964,0.3034296,0.23703669,0.023860335,0.15321292,0.36339304,-0.30586675,-0.26224136,-0.34949213,23235322000.0,0.54046625
World,1965,0.30810982,0.24564253,0.024556566,0.15842722,0.37076858,-0.2043879,-0.15520222,-0.25357357,23528948000.0,0.55375236
World,1966,0.31275722,0.2547146,0.02528162,0.16389792,0.37829232,-0.14888458,-0.09937696,-0.19839221,24142748000.0,0.56747186
World,1967,0.3175003,0.26386642,0.026032295,0.16931398,0.38602042,-0.11751631,-0.07440783,-0.16062479,24736307000.0,0.5813667
World,1968,0.3223079,0.27341503,0.02680642,0.1748436,0.39407292,-0.1686323,-0.124011464,-0.21325313,25618143000.0,0.5957229
World,1969,0.3269594,0.28364483,0.027596863,0.18063626,0.40237114,-0.031366713,0.009132013,-0.07186544,26375401000.0,0.6106042
World,1970,0.3316549,0.29442728,0.028394282,0.18654019,0.4111477,-0.08510657,-0.04413217,-0.12608096,27596683000.0,0.6260822
World,1971,0.3362337,0.30539754,0.029186506,0.19225317,0.42019156,-0.20593274,-0.16735843,-0.24450706,28202478000.0,0.64163125
World,1972,0.34084937,0.3167964,0.03000725,0.1980751,0.4295634,-0.0938271,-0.05593726,-0.13171694,29130297000.0,0.65764576
World,1973,0.3453924,0.32876214,0.030852558,0.20404547,0.43925652,0.04993336,0.086398184,0.013468528,30065463000.0,0.6741546
World,1974,0.34986255,0.34058318,0.031706475,0.20987763,0.4488616,-0.17253734,-0.1348509,-0.21022376,29925347000.0,0.6904457
World,1975,0.35443437,0.35218272,0.03258454,0.21552749,0.45850506,-0.11075424,-0.07020335,-0.15130512,30165764000.0,0.7066171
World,1976,0.3589491,0.36418954,0.033484507,0.22111318,0.46854097,-0.21586166,-0.17583954,-0.25588378,31188770000.0,0.72313863
World,1977,0.36348298,0.3764051,0.034405906,0.22662893,0.47885323,0.10308852,0.14612034,0.060056705,31948120000.0,0.7398881
World,1978,0.36781245,0.38890314,0.035342883,0.23203099,0.48934174,0.0052557723,0.04508841,-0.034576867,32418126000.0,0.7567156
World,1979,0.3720858,0.40161934,0.036312222,0.23739363,0.49999934,0.09085813,0.119357646,0.062358618,33049813000.0,0.7737052
World,1980,0.3763924,0.4139442,0.03728857,0.24243198,0.51061606,0.19607207,0.22934014,0.162804,32947655000.0,0.7903366
World,1981,0.38071492,0.42572013,0.038243517,0.24703015,0.5211614,0.25001204,0.28063282,0.21939126,32579475000.0,0.80643505
World,1982,0.38507876,0.4374162,0.03920832,0.25164053,0.5316461,0.034263328,0.07363132,-0.005104665,32556354000.0,0.8224949
World,1983,0.3895747,0.44899336,0.04018047,0.2560232,0.5423644,0.22383861,0.2596032,0.18807402,33109391000.0,0.8385681
World,1984,0.3942202,0.46094477,0.041163824,0.26039708,0.55360407,0.04800471,0.08444869,0.011560736,34397426000.0,0.85516495
World,1985,0.39876086,0.47314182,0.04215278,0.26471192,0.56503797,0.04972978,0.08379609,0.015663471,34960530000.0,0.8719027
World,1986,0.4032448,0.48532727,0.043142065,0.2688055,0.5766245,0.09568697,0.12696595,0.064408,35398316000.0,0.88857204
World,1987,0.40765595,0.49790648,0.04414807,0.27291462,0.5884997,0.2430264,0.27386728,0.21218552,36161890000.0,0.9055624
World,1988,0.41196844,0.5110006,0.045151204,0.27709177,0.60072607,0.28215173,0.31726816,0.2470353,37071196000.0,0.92296904
World,1989,0.41630137,0.5241703,0.046167277,0.28130084,0.61300355,0.17925027,0.21400215,0.14449838,37393690000.0,0.94047165
World,1990,0.4206761,0.53739566,0.047188126,0.28544247,0.62544113,0.36056247,0.39657268,0.32455227,37861167000.0,0.95807177
World,1991,0.42500854,0.5507144,0.048205126,0.28947267,0.63804513,0.33889654,0.3737569,0.30403617,38189654000.0,0.9757229
World,1992,0.42926687,0.5636105,0.04922293,0.29324505,0.6504094,0.124896795,0.15891153,0.09088206,37660260000.0,0.99287736
World,1993,0.43340746,0.57643807,0.050235074,0.2967397,0.66287076,0.16565846,0.2031438,0.12817313,37883445000.0,1.0098455
World,1994,0.4377242,0.5894452,0.051262397,0.3003148,0.6755922,0.23354977,0.2686866,0.19841294,38568268000.0,1.0271695
World,1995,0.44195023,0.6028442,0.052320216,0.30394486,0.6885294,0.37686616,0.41007656,0.34365577,39237210000.0,1.0447944
World,1996,0.446113,0.61661637,0.05339479,0.3075537,0.70178086,0.2766894,0.31019878,0.24318004,40058495000.0,1.0627294
World,1997,0.45092916,0.6304329,0.054461602,0.3109842,0.7159163,0.4223085,0.4545262,0.39009082,42008400000.0,1.081362
World,1998,0.4551019,0.64392704,0.055526387,0.31421894,0.7292837,0.57731646,0.6115888,0.54304415,40243634000.0,1.099029
World,1999,0.45925832,0.65741855,0.056597173,0.31719583,0.74288386,0.32448497,0.35613516,0.29283476,40820010000.0,1.1166768
World,2000,0.46315667,0.67170763,0.057675,0.3205483,0.75664103,0.3310848,0.36394167,0.29822788,41343422000.0,1.1348643
World,2001,0.4669382,0.68637943,0.05875687,0.3242349,0.77032584,0.48928034,0.5204924,0.4580683,41203966000.0,1.1533176
World,2002,0.47088268,0.70119125,0.05985295,0.32773745,0.78448355,0.5434665,0.57415116,0.51278186,42279180000.0,1.172074
World,2003,0.4750452,0.71705705,0.06095276,0.3316785,0.799471,0.5441702,0.5770977,0.5112426,44362280000.0,1.1921023
World,2004,0.4792166,0.7334414,0.06208902,0.3357979,0.8147711,0.46737072,0.5004031,0.43433833,45323980000.0,1.212658
World,2005,0.48311126,0.7503607,0.06323402,0.34001568,0.8302223,0.60686255,0.6380198,0.5757053,45839122000.0,1.233472
World,2006,0.487224,0.7678241,0.064393535,0.34438074,0.84627384,0.5725527,0.60313237,0.541973,47368860000.0,1.2550482
World,2007,0.49113086,0.7856415,0.06558632,0.34873658,0.8624494,0.5917013,0.6220495,0.56135315,47793620000.0,1.2767724
World,2008,0.49515796,0.8036416,0.066765755,0.35305542,0.87897843,0.46564984,0.49864236,0.43265733,48658096000.0,1.2987996
World,2009,0.49922788,0.8210861,0.067932606,0.3569332,0.89544815,0.5967817,0.6283077,0.56525564,48450773000.0,1.3203139
World,2010,0.50316185,0.83956045,0.069121934,0.36095947,0.91264087,0.68037146,0.7116669,0.649076,50274144000.0,1.3427223
World,2011,0.5073018,0.8589753,0.07035647,0.36552534,0.9303953,0.53769773,0.5693943,0.5060012,51856640000.0,1.3662771
World,2012,0.5114533,0.8788133,0.071604684,0.37033954,0.94832236,0.5776071,0.6103589,0.5448553,52393185000.0,1.3902665
World,2013,0.5154579,0.89878154,0.07284773,0.37509152,0.96630025,0.6235754,0.6586669,0.5884838,52483064000.0,1.4142394
World,2014,0.51960164,0.9189197,0.07410411,0.37989125,0.9845259,0.67287165,0.7068384,0.63890487,53155336000.0,1.4385213
World,2015,0.52396274,0.938911,0.075364724,0.3845559,1.0029532,0.82511437,0.8589417,0.79128706,53660480000.0,1.4628737
World,2016,0.52801675,0.9587203,0.07663571,0.3891236,1.0209777,0.93292713,0.96409065,0.90176356,52822622000.0,1.486737
World,2017,0.532179,0.97892034,0.077930525,0.39399737,1.0391715,0.84517425,0.87557375,0.81477475,53405286000.0,1.5110993
World,2018,0.53622603,0.9997744,0.079223044,0.3991511,1.0576264,0.762654,0.79425603,0.731052,54066300000.0,1.5360005
World,2019,0.54037064,1.020951,0.080522485,0.4044328,1.0763664,0.8910726,0.92535794,0.85678726,54821320000.0,1.5613217
World,2020,0.54435647,1.0410577,0.081836216,0.40951592,1.0940621,0.9227938,0.9573755,0.8882121,52585247000.0,1.5854142
World,2021,0.548381,1.062219,0.08317285,0.41484845,1.1125787,0.7618559,0.79826844,0.72544336,54593196000.0,1.6106
